ID,Name,Category,Price,Modifications
1,Classic Milk Tea,Milk Tea,4.5,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
2,Taro Milk Tea,Milk Tea,9.5,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
3,Matcha Latte,Milk Tea,5.0,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
4,Strawberry Smoothie,Specialty Drink,6.5,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
5,Brown Sugar Boba,Milk Tea,5.5,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
6,Mango Green Tea,Fruit Tea,5.25,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
7,Strawberry Lychee Tea,Fruit Tea,5.75,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
8,Honey Oolong Citrus Tea,Fruit Tea,5.5,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
9,Winter Brown Sugar Oolong,Seasonal Drink,6.0,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
10,Holiday Coconut Matcha,Seasonal Drink,6.25,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
11,Caramel Cream Black Tea,Seasonal Drink,5.95,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
12,Passion Fruit Tea,Fruit Tea,5.95,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
13,Coffee Milk Tea,Specialty Drink,5.95,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
14,Fruit Slushee Tea,Specialty Drink,5.95,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
15,Coffee Tea,Specialty Drink,5.95,"{'Sugar': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Ice': ['0%', '25%', '50%', '100%', '150%', '200%'], 'Size': ['Small', 'Medium', 'Large'], 'Toppings': ['None', 'Boba', 'Green Jelly', 'Lychee Jelly', 'Coconut Jelly', 'Pudding']}"
